year,Base case cost,Modeled transmission and interties
2021,318670.194534,1613752.49851
2022,330759.597678,1629261.22395
2023,338360.742485,1640685.91472
2024,346582.923552,1651142.77577
2025,356302.218087,1664594.32023
2026,366958.460629,1678702.06251
2027,377046.062029,1692332.66894
2028,385559.498315,1704424.5815
2029,396573.260491,1718040.59536
2030,403970.988954,1728909.07442
2031,415520.260065,1744211.32404
2032,427524.906399,1761120.77483
2033,440063.520635,1776445.08209
2034,454025.278759,1796046.02854
2035,464381.019884,1809320.16742
2036,476986.669051,1827050.977
2037,487234.537873,1840153.8541
2038,500465.8464,1858746.89497
2039,513838.929954,1876835.32172
2040,529976.626541,1899086.33816
