year,Base case cost,Modeled residential ashp
2017,170224.337262,357871.692165
2018,181455.281557,366641.547032
2019,203791.625584,386536.638361
2020,218573.197391,399005.00799
2021,223848.963814,402039.603275
2022,235821.124106,411831.725593
2023,238549.564391,412443.275595
2024,248883.320161,420712.448132
2025,251702.317519,421511.577137
2026,263528.822959,431358.584745
2027,266438.377391,432340.798149
2028,268932.28119,432955.225414
2029,280731.23774,442911.861004
2030,282874.174529,443264.7149
2031,295386.326382,454015.478048
