year,Base case cost,Modeled non-residential ashp
2017,21638639.8196,21852089.0228
2018,24143766.1199,23498992.8499
2019,27650942.9402,25850022.8038
2020,29404531.3504,26975678.3128
2021,30573590.2905,27694452.9392
2022,31408632.3906,28181694.3511
2023,32076666.0707,28554283.602
2024,32577691.3308,28812167.1676
2025,33162220.8008,29130696.5707
2026,33913758.6909,29568288.6973
2027,34581792.371,29949489.9072
2028,35082817.631,30215783.5891
2029,35750851.3111,30600993.9268
2030,36168372.3611,30812734.8422
2031,37003414.4612,31318704.4446
