year,Base case cost,Modeled non-residential ashp
2017,312809.3399,399178.379889
2018,332743.370277,418432.347511
2019,366100.720277,451275.80238
2020,377990.289862,462428.87744
2021,384229.40024,467876.572344
2022,393040.40024,475892.464552
2023,393702.229825,475729.093412
2024,393385.230202,474595.113142
2025,399409.780202,479849.227499
2026,401465.609788,481167.741833
2027,401682.160165,480640.803507
2028,406723.360165,484957.760054
2029,407581.01975,485122.910652
2030,406655.979336,483497.834376
2031,413213.899336,489412.462905
