year,Base case cost,Feasinility assessment for biomass heating system
2019,406854.168193,428397.031032
2020,420096.606594,440079.469434
2021,429366.313475,448257.176314
2022,435987.532675,454098.395515
2023,441284.508036,458771.370876
2024,445257.239556,462276.102396
2025,449892.092997,466364.955836
2026,455851.190277,471622.053117
2027,460486.043718,475710.906557
2028,464458.775238,479215.638078
2029,469755.750599,483888.613438
2030,473066.360199,486809.223039
2031,479025.457479,492066.320319
2032,,
2033,,
2034,,
2035,,
2036,,
2037,,
2038,,
