year,Base case cost,Modeled transmission and interties
2021,441196.956579,2190669.95421
2022,452962.208754,2203631.70551
2023,462374.410494,2214001.10656
2024,469433.5618,2220599.63473
2025,477669.238322,2229672.86064
2026,488257.96528,2241338.43682
2027,496493.641803,2250411.66273
2028,503552.793108,2258188.71351
2029,512964.994849,2268558.11456
2030,518847.620936,2275038.99021
2031,529436.347894,2286704.56638
2032,540025.074852,2297191.61995
2033,550613.80181,2308857.19612
2034,562379.053985,2320640.42481
2035,569438.205291,2328417.4756
2036,580026.932249,2341261.57438
2037,587086.083554,2347860.10255
2038,598851.335729,2360821.85386
2039,607476.920417,2370336.22206
2040,620427.009805,2383424.02628
