year,Base case cost,Modeled transmission and interties
2021,144194.272835,1742223.06362
2022,149831.94809,1728815.16538
2023,153894.902976,1713545.9931
2024,157534.452644,1698328.19202
2025,161953.443812,1684571.74932
2026,166636.560809,1672091.04792
2027,170891.5879,1659630.73833
2028,174706.813365,1646569.90996
2029,179827.948684,1635513.02124
2030,183526.61599,1622739.03577
2031,189265.571076,1613866.25639
2032,193972.892294,1604077.34631
2033,199537.733145,1595150.48075
2034,205165.036501,1587327.87543
2035,208991.192905,1577189.10799
2036,214725.463303,1570289.27571
2037,219281.650242,1561337.47141
2038,225135.380182,1555339.54507
2039,229989.266546,1548618.94097
2040,236150.065287,1543571.4312
