year,Base case cost,Buckland (hunter creek)
2021,572736.825167,3278507.59833
2022,590473.267644,3236845.09201
2023,605719.954478,3194867.68882
2024,618617.630611,3152399.80198
2025,632191.994138,3111580.66723
2026,646770.724235,3072137.63584
2027,656831.035529,3030231.70638
2028,665012.248998,2987617.80997
2029,675999.25641,2948667.96228
2030,678082.061489,2902787.0721
2031,690306.626306,2866996.93224
2032,703830.334253,2833285.6453
2033,716521.190999,2800067.10751
2034,728012.569969,2766379.45875
2035,734377.760102,2729699.31748
2036,744065.557078,2696168.80982
2037,748174.070229,2659146.76033
2038,757741.650841,2627651.35485
2039,765106.830998,2595141.18299
2040,777057.147829,2567240.92606
2041,773864.954333,2528198.27288
2042,771128.78848,2490451.89247
2043,768392.622627,2453526.06411
2044,765200.429132,2416945.5282
2045,760640.15271,2379779.44876
2046,760184.125068,2347481.81656
2047,757447.959215,2313650.33384
2048,756535.903931,2282371.75817
2049,753799.738077,2249980.78698
2050,753799.738077,2221021.01635
2051,753799.738077,2192739.99037
2052,753799.738077,2165121.80093
2053,753799.738077,2138150.9129
2054,753799.738077,2111812.15484
2055,753799.738077,2086090.7115
2056,753799.738077,2060972.11451
2057,753799.738077,2036442.23468
2058,753799.738077,2012487.2738
2059,753799.738077,1989093.75751
2060,753799.738077,1966248.52661
2061,753799.738077,1943938.73082
2062,753799.738077,1922151.82087
2063,753799.738077,1900875.54157
2064,753799.738077,1880097.92525
2065,753799.738077,1859807.28416
2066,753799.738077,1839992.20491
2067,753799.738077,1820641.54173
2068,753799.738077,1801744.40957
2069,753799.738077,1783290.179
2070,753799.738077,1765268.4695
