year,Base case cost,Modeled non-residential ashp
2017,642681.980282,735193.288104
2018,678934.922696,768037.234547
2019,726581.64701,812051.247015
2020,749369.210813,831880.007422
2021,764906.186133,844694.082686
2022,776299.968034,853522.495541
2023,784586.354871,859374.074461
2024,790801.144999,863257.678003
2025,798051.733482,868202.419212
2026,808409.717029,876227.327285
2027,815660.305511,881270.559062
2028,822910.893994,886361.311688
2029,831197.280831,892508.583928
2030,836376.272605,895670.837937
2031,845698.457796,902917.799375
