year,Base case diesel consumed,Buckland/deering/noorvik wind farm construction,Modeled wind power
2017,121043.035819,94461.6040158,
2018,121482.933866,94901.5020629,
2019,122362.72996,95781.2981572,114581.432122
2020,122216.097278,95634.6654748,114434.79944
2021,123169.209713,96587.7779102,115387.911875
2022,124049.005807,97467.5740045,116267.70797
2023,125148.750925,98567.3191223,117367.453087
2024,126248.496043,99667.0642401,118467.198205
2025,127201.608478,100620.176675,119420.310641
2026,127568.190184,100986.758381,119786.892347
2027,127788.139208,101206.707405,120006.84137
2028,127641.506526,101060.074723,119860.208688
2029,127788.139208,101206.707405,120006.84137
2030,126981.659455,100400.227652,119200.361617
2031,127128.292137,100546.860334,119346.994299
2032,127274.92482,100693.493017,119493.626982
2033,127494.873843,100913.44204,119713.576005
2034,127274.92482,100693.493017,119493.626982
2035,127054.975796,100473.543993,119273.677958
2036,126541.761408,99960.3296048,118760.46357
2037,125955.230678,,118173.93284
2038,125661.965314,,117880.667476
