year,annotation,consumption,consumption residential,consumption non-residential
2003,,796896.0,430699.0,366197.0
2004,,1063233.0,432291.0,630942.0
2005,,1212669.0,424940.0,787729.0
2006,,1215290.0,441553.0,773737.0
2007,,1239236.0,451205.0,788031.0
2008,,1314234.0,537006.0,777228.0
2009,,1292917.0,526711.0,766206.0
2010,,1306212.0,495920.0,810292.0
2011,,1327812.0,522969.0,804843.0
2012,,1493750.0,609107.0,884643.0
2013,,1589209.0,672952.0,916257.0
2014,,1597211.0,657330.0,939881.0
2015,,1622188.0,726831.0,895357.0
2016,start of forecast,1580264.0,663099.0,917165.0
2017,,1577300.0,660135.0,917165.0
2018,,1582734.0,665569.0,917165.0
2019,,1593855.0,676690.0,917165.0
2020,,1591804.0,674639.0,917165.0
2021,,1603404.0,686239.0,917165.0
2022,,1614269.0,697104.0,917165.0
2023,,1627925.0,710760.0,917165.0
2024,,1642349.0,725184.0,917165.0
2025,,1653447.0,736282.0,917165.0
2026,,1657987.0,740822.0,917165.0
2027,,1660865.0,743700.0,917165.0
2028,,1659064.0,741899.0,917165.0
2029,,1661236.0,744071.0,917165.0
2030,,1650611.0,733446.0,917165.0
2031,,1652934.0,735769.0,917165.0
2032,,1655119.0,737954.0,917165.0
2033,,1657494.0,740329.0,917165.0
2034,,1654719.0,737554.0,917165.0
2035,,1651971.0,734806.0,917165.0
2036,,1645562.0,728397.0,917165.0
2037,,1638176.0,721011.0,917165.0
2038,,1634706.0,717541.0,917165.0
2039,,1629562.0,712397.0,917165.0
2040,,1625298.0,708133.0,917165.0
