year,Base case cost,Buckland/deering/noorvik wind farm construction,Modeled wind power
2017,420019.334291,764220.283547,
2018,464064.807368,791757.876313,
2019,523712.48423,832608.947127,682984.440836
2020,549972.43775,845701.40318,703942.112324
2021,572736.825167,857074.700301,721958.163627
2022,590473.267644,864512.886276,735299.315275
2023,605719.954478,870323.399684,746435.431295
2024,618617.630611,874416.337643,755438.979666
2025,632191.994138,879134.133778,765134.902902
2026,646770.724235,884347.659545,775716.433605
2027,656831.035529,885888.286482,782056.488276
2028,665012.248998,885712.358756,786593.767359
2029,675999.25641,888274.599883,793945.110925
2030,678082.061489,882766.727698,792663.827526
2031,690306.626306,886646.560976,801330.332759
2032,703830.334253,891747.010985,811299.1329
2033,716521.190999,896385.335658,820569.132526
2034,728012.569969,899738.807671,828639.590471
2035,734377.760102,899009.204601,831913.558745
2036,744065.557078,900831.226595,838308.214429
2037,748174.070229,,839450.290641
2038,757741.650841,,845912.85317
