year,Base case diesel consumed,Modeled solar power (pv)
2016,78091.7782512,76911.0412615
2017,78091.7782512,76920.4871574
2018,78091.7782512,76929.8574862
2019,78173.0392067,77020.4138078
2020,78173.0392067,77029.634811
2021,78254.3001622,77120.0430017
2022,78254.3001622,77129.117059
2023,78254.3001622,77138.1185238
2024,78335.5611177,77228.3089324
2025,78335.5611177,77237.1669499
2026,78335.5611177,77245.9541032
2027,78416.8220732,77335.9319149
2028,78416.8220732,77344.5790361
2029,78498.0830287,77434.4179359
2030,78498.0830287,77442.9272567
2031,78579.3439843,77532.6294584
2032,78579.3439843,77541.0031746
2033,78579.3439843,77549.3099011
2034,78660.6049398,77638.8111293
2035,78660.6049398,77646.9854797
