year,Base case cost,Modeled transmission and interties
2021,558735.703158,907587.596186
2022,574386.56319,923854.630518
2023,585342.165213,935663.634767
2024,595350.264495,945929.442446
2025,606317.243051,957046.511898
2026,618850.93283,970355.332004
2027,630471.249469,982860.480247
2028,639881.268117,992499.985691
2029,653104.050799,1005824.62934
2030,659383.897441,1013198.50374
2031,674210.771385,1028049.11391
2032,686783.466422,1042105.74052
2033,700927.74834,1056241.77155
2034,715811.504952,1071857.89287
2035,725250.777545,1081527.36569
2036,740173.539416,1097184.17401
2037,749622.563323,1106863.63595
2038,764584.330453,1122561.13127
2039,775619.568212,1134455.97459
2040,792200.053575,1151694.78536
