year,Base case cost,Modeled non-residential ashp
2017,362780.110281,432271.871963
2018,390529.290262,459116.446177
2019,433409.981406,500730.689245
2020,453834.763681,520582.554535
2021,475171.242346,541527.037367
2022,488938.487857,554992.747622
2023,500367.178866,566210.363952
2024,511076.039498,576738.303431
2025,522759.188982,588210.378236
2026,541241.042411,606451.003459
2027,559125.582505,624124.468875
2028,576356.262939,641174.228154
2029,589692.257207,654268.994219
2030,605464.428111,669920.55102
2031,626211.711541,690396.45272
