year,Base case cost,Modeled non-residential ashp
2017,473104.115924,527767.026378
2018,535395.698431,586686.361199
2019,621845.673627,668415.189634
2020,666324.864637,710758.623775
2021,702042.822871,744902.866422
2022,730594.238456,772330.199445
2023,753672.274286,794621.377481
2024,775081.765414,815356.419071
2025,798824.492429,838312.288293
2026,824974.309907,863562.839722
2027,849430.964491,887232.636512
2028,872120.601605,909247.824089
2029,899378.237725,935606.194159
2030,920547.03929,956212.954442
2031,948518.602979,983285.252082
