year,Base case cost,Modeled residential ashp
2017,473104.115924,208026.170921
2018,535395.698431,261670.201819
2019,621845.673627,336013.604762
2020,666324.864637,375016.013085
2021,702042.822871,406698.447235
2022,730594.238456,432367.345617
2023,753672.274286,453427.619405
2024,775081.765414,473107.600211
2025,798824.492429,494832.565184
2026,824974.309907,518676.3689
2027,849430.964491,541115.261442
2028,872120.601605,562075.388234
2029,899378.237725,587027.010591
2030,920547.03929,606754.553554
2031,948518.602979,632420.103481
