year,Base case cost,Modeled transmission and interties
2021,796130.672973,2115276.79046
2022,826605.58756,2141840.77806
2023,850860.385343,2162688.28406
2024,873188.121248,2181751.49606
2025,898827.092346,2203789.15177
2026,929417.515138,2230341.2287
2027,958972.214364,2255760.47212
2028,985013.539041,2278017.72174
2029,1019456.16045,2307776.28837
2030,1040613.41322,2326560.94392
2031,1075092.61222,2356484.33558
2032,1109231.06203,2386115.63948
2033,1144732.50864,2415883.93556
2034,1182544.11934,2449741.24137
2035,1210497.1048,2473636.55565
2036,1247488.60725,2505740.95888
2037,1277116.46168,2531076.66823
2038,1313155.02144,2562357.87776
2039,1346221.17008,2590796.42063
2040,1396459.53844,2633504.7575
