year,annotation,consumption,consumption residential,consumption non-residential
2003,,1351160.0,817640.0,533520.0
2004,,1424364.0,841938.0,582426.0
2005,,1441793.0,853858.0,587935.0
2006,,1525400.0,859068.0,666332.0
2007,,1642242.0,861242.0,781000.0
2008,,1631196.0,892377.0,738819.0
2009,,1557178.0,905529.0,651649.0
2010,,1557456.0,920888.0,636568.0
2011,,1513554.0,924902.0,588652.0
2012,,1472565.0,876963.0,595602.0
2013,,1420020.0,840460.0,579560.0
2014,,1423612.0,835910.0,587702.0
2015,,1488479.0,828083.0,660396.0
2016,start of forecast,1473666.0,864447.0,609219.0
2017,,1472913.0,863694.0,609219.0
2018,,1472541.0,863322.0,609219.0
2019,,1472665.0,863445.0,609219.0
2020,,1472911.0,863692.0,609219.0
2021,,1473006.0,863787.0,609219.0
2022,,1473266.0,864046.0,609219.0
2023,,1473511.0,864291.0,609219.0
2024,,1473878.0,864658.0,609219.0
2025,,1474271.0,865051.0,609219.0
2026,,1474741.0,865522.0,609219.0
2027,,1475120.0,865901.0,609219.0
2028,,1475460.0,866241.0,609219.0
2029,,1476603.0,867384.0,609219.0
2030,,1477498.0,868279.0,609219.0
2031,,1478022.0,868803.0,609219.0
2032,,1477978.0,868758.0,609219.0
2033,,1477769.0,868550.0,609219.0
2034,,1477538.0,868319.0,609219.0
2035,,1477362.0,868143.0,609219.0
2036,,1477268.0,868049.0,609219.0
2037,,1477208.0,867989.0,609219.0
2038,,1477026.0,867806.0,609219.0
2039,,1476656.0,867436.0,609219.0
2040,,1476146.0,866927.0,609219.0
