year,Base case cost,Modeled transmission and interties
2021,484275.0,412045.253715
2022,500417.5,425022.976905
2023,512448.333333,434332.454514
2024,521258.333333,440775.550108
2025,533005.0,449899.911706
2026,546530.0,460660.949999
2027,558283.333333,469858.977316
2028,567420.0,476731.785349
2029,580979.166667,487621.563216
2030,588666.666667,493251.546975
2031,603725.0,505553.750631
2032,616977.5,516258.417935
2033,631702.5,528318.941086
2034,646061.666667,540078.128529
2035,656363.333333,548208.776167
2036,671080.0,560344.758928
2037,679910.0,567202.668945
2038,696098.333333,580716.884562
2039,707470.833333,589916.727839
2040,725120.833333,604797.750788
