year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation hydro [kWh/year],generation diesel [kWh/year]
2003,,408.92,1690800.0,1660800.0,30000.0
2004,,408.92,1762200.0,1762200.0,0.0
2005,,408.92,1762778.0,1720200.0,42578.0
2006,,408.92,1825095.0,1821600.0,3495.0
2007,,408.92,1942826.0,1530364.0,412462.0
2008,,408.92,1748895.0,1748895.0,0.0
2009,,408.92,1845900.0,1845900.0,0.0
2010,,408.92,1883100.0,1883100.0,0.0
2011,,408.92,1784220.0,1784220.0,0.0
2012,,408.92,2141094.0,2141094.0,0.0
2013,,408.92,1721022.0,1721022.0,0.0
2014,,408.92,1681740.0,1681740.0,0.0
2015,,408.92,1776580.0,1776580.0,0.0
2016,start of forecast,408.92,1762000.0,1726447.33,35552.67
2017,,408.92,1761000.0,1728255.78,32744.22
2018,,408.92,1760000.0,1743761.04,16238.96
2019,,408.92,1761000.0,1732821.38,28178.62
2020,,408.92,1761000.0,1734946.07,26053.93
2021,,408.92,1761000.0,1737176.16,23823.84
2022,,408.92,1761000.0,1734981.2,26018.8
2023,,408.92,1762000.0,1735701.14,26298.86
2024,,408.92,1762000.0,1735952.84,26047.16
2025,,408.92,1762000.0,1735545.06,26454.94
2026,,408.92,1763000.0,1735733.01,27266.99
2027,,408.92,1763000.0,1735743.64,27256.36
2028,,408.92,1764000.0,1735673.9,28326.1
2029,,408.92,1765000.0,1735716.85,29283.15
2030,,408.92,1766000.0,1735711.46,30288.54
2031,,408.92,1767000.0,1735700.74,31299.26
2032,,408.92,1767000.0,1735709.69,31290.31
2033,,408.92,1767000.0,1735707.3,31292.7
2034,,408.92,1766000.0,1735705.91,30294.09
2035,,408.92,1766000.0,1735707.63,30292.37
2036,,408.92,1766000.0,1735706.94,30293.06
2037,,408.92,1766000.0,1735706.83,30293.17
2038,,408.92,1766000.0,1735707.13,30292.87
2039,,408.92,1765000.0,1735706.97,29293.03
2040,,408.92,1765000.0,1735706.98,29293.02
