year,Base case cost,Modeled non-residential ashp
2017,15336.4121041,39094.6650943
2018,16791.2957176,39622.0368103
2019,18828.1327766,40515.1526563
2020,19742.6310479,40727.7960269
2021,20407.7206998,40795.5350024
2022,20906.5379388,40769.2032405
2023,21239.0827647,40648.6137353
2024,21530.0594874,40510.1215571
2025,21862.6043134,40404.5735297
2026,22236.7172426,40331.7954859
2027,22610.8301718,40266.1047337
2028,22860.2387912,40130.7974106
2029,23275.9198237,40104.299403
2030,23483.7603399,39956.8390343
2031,23899.4413723,39943.3874404
