year,Base case cost,"Unalakleet (east fork of south river) -- south river, east fork"
2021,675246.699771,4742720.69979
2022,694331.286226,4661459.19675
2023,706392.42965,4579963.1576
2024,718372.351293,4500393.76177
2025,730400.329342,4422833.23321
2026,747166.137112,4348770.16209
2027,761560.34494,4275783.07916
2028,771241.021166,4203063.8368
2029,785658.622618,4133709.6424
2030,795572.082638,4064748.08126
2031,812376.464223,3999645.333
2032,829189.611628,3936212.22104
2033,846011.768605,3874410.06065
2034,862600.401992,3813958.30936
2035,874695.960347,3753715.51612
2036,891540.409195,3696576.93905
2037,901532.960832,3638794.45669
2038,920771.961918,3585388.54291
2039,932900.284703,3531011.60541
2040,952158.688032,3480405.75021
2041,952158.68519,3424504.04259
2042,952426.743664,3370180.59119
2043,952694.804163,3317136.63322
2044,952962.862581,3265342.17313
2045,953230.921711,3214767.92998
2046,953498.98106,3165385.30134
2047,953767.040026,3117166.36221
2048,954035.099174,3070083.83604
2049,954303.158328,3024111.0885
2050,954571.217418,2979222.11112
