year,annotation,consumption,consumption residential,consumption non-residential
2003,,2081264.0,911450.0,1169814.0
2004,,2230396.0,830371.0,1400025.0
2005,,2166072.0,877372.0,1288700.0
2006,,2360298.0,914070.0,1446228.0
2007,,2622499.0,1007453.0,1615046.0
2008,,2880512.0,1093680.0,1786832.0
2009,,2394369.0,993734.0,1400635.0
2010,,2649393.0,975865.0,1673528.0
2011,,2928841.0,971855.0,1956986.0
2012,,3397409.0,947244.0,2450165.0
2013,,3275439.0,827670.0,2447769.0
2014,,2985568.0,778159.0,2207409.0
2015,,2905710.0,756542.0,2149168.0
2016,start of forecast,3182080.0,913965.0,2268115.0
2017,,3182099.0,913984.0,2268115.0
2018,,3182144.0,914029.0,2268115.0
2019,,3182193.0,914077.0,2268115.0
2020,,3182263.0,914147.0,2268115.0
2021,,3182307.0,914191.0,2268115.0
2022,,3182302.0,914186.0,2268115.0
2023,,3182240.0,914125.0,2268115.0
2024,,3182214.0,914099.0,2268115.0
2025,,3182222.0,914107.0,2268115.0
2026,,3182281.0,914165.0,2268115.0
2027,,3182312.0,914196.0,2268115.0
2028,,3182321.0,914205.0,2268115.0
2029,,3182574.0,914459.0,2268115.0
2030,,3182765.0,914650.0,2268115.0
2031,,3182889.0,914773.0,2268115.0
2032,,3182836.0,914721.0,2268115.0
2033,,3182736.0,914621.0,2268115.0
2034,,3182649.0,914534.0,2268115.0
2035,,3182619.0,914504.0,2268115.0
2036,,3182671.0,914556.0,2268115.0
2037,,3182795.0,914679.0,2268115.0
2038,,3182901.0,914786.0,2268115.0
2039,,3182935.0,914820.0,2268115.0
2040,,3182921.0,914806.0,2268115.0
