year,Base case cost,Modeled non-residential ashp
2017,111006.312043,171771.207074
2018,118868.82226,178948.119467
2019,129150.566389,188584.016114
2020,133989.034215,192744.453201
2021,137617.885084,195701.193462
2022,140037.118997,197453.840261
2023,141851.544432,198612.316111
2024,143363.565627,199481.397674
2025,144875.586823,200365.870479
2026,146992.416497,201875.683631
2027,148806.841931,203095.020101
2028,150318.863127,204023.535864
2029,152133.288561,205271.204797
2030,153342.905518,205922.234064
2031,155762.139431,207807.232782
