year,Base case cost,Modeled residential ashp
2017,304627.305715,709823.506337
2018,326203.874285,725002.421813
2019,362832.978776,755417.347353
2020,376426.072039,762874.909034
2021,386620.891986,767063.881398
2022,393417.438618,767980.859834
2023,398514.848591,767329.445234
2024,402762.690236,765959.853557
2025,407010.531881,764722.376851
2026,412957.510183,765320.844298
2027,418054.920157,765191.843618
2028,422302.761802,764332.42179
2029,427400.171775,764446.62062
2030,430798.445091,762971.235517
2031,447742.210486,775171.511907
