year,Base case diesel consumed,Modeled solar power (pv)
2016,49779.8442856,49704.4335846
2017,49779.8442856,49705.0368702
2018,49857.1774847,49782.9685287
2019,49857.1774847,49783.5622004
2020,49857.1774847,49784.1511226
2021,49857.1774847,49784.7353335
2022,49857.1774847,49785.3148707
2023,49857.1774847,49785.8897717
2024,49857.1774847,49786.4600734
2025,49857.1774847,49787.0258126
2026,49857.1774847,49787.587026
2027,49857.1774847,49788.1437497
2028,49857.1774847,49788.6960196
2029,49857.1774847,49789.2438713
2030,49857.1774847,49789.7873402
2031,49857.1774847,49790.3264614
2032,49857.1774847,49790.8612695
2033,49857.1774847,49791.3917993
2034,49857.1774847,49791.9180847
2035,49857.1774847,49792.4401599
