year,Base case cost,Chuathbaluk (mission creek)
2021,140249.378762,1338271.3569
2022,145195.110366,1316540.98857
2023,148605.011832,1294404.39147
2024,151297.794167,1272482.80075
2025,154374.235237,1251311.96907
2026,158718.78197,1231579.49484
2027,162212.347335,1211705.47932
2028,165503.924144,1192510.53267
2029,169042.907053,1173696.28707
2030,171845.647655,1155003.08271
2031,176353.936589,1137941.57144
2032,180339.923757,1120824.50209
2033,184923.5102,1104760.83649
2034,189936.172922,1089387.43512
2035,192847.676592,1073083.2978
2036,197934.441625,1058643.18851
2037,200886.582046,1043218.74062
2038,205421.165348,1029045.83693
2039,209829.057604,1015509.45668
2040,215465.613971,1003036.02119
2041,216114.606784,987975.323895
2042,217412.59241,973931.815279
2043,218061.585223,959598.879981
2044,219359.57085,946266.076536
2045,220008.563663,932627.189418
2046,221306.549289,919972.16729
2047,221955.542102,906995.176019
2048,223253.527729,894986.53645
2049,223902.520542,882640.778139
2050,225200.506168,871248.577132
2051,225200.506168,858855.816764
2052,225200.506168,846753.511668
2053,225200.506168,834934.854444
2054,225200.506168,823393.196921
2055,225200.506168,812122.047004
2056,225200.506168,801115.064667
2057,225200.506168,790366.058447
2058,225200.506168,779868.982157
2059,225200.506168,769617.931015
2060,225200.506168,759607.13885
2061,225200.506168,749830.974708
2062,225200.506168,740283.939334
2063,225200.506168,730960.662628
2064,225200.506168,721855.900245
2065,225200.506168,712964.53081
2066,225200.506168,704281.552641
2067,225200.506168,695802.081932
2068,225200.506168,687521.34875
2069,225200.506168,679434.695336
2070,225200.506168,671537.572833
