year,Base case cost,Modeled transmission and interties
2021,140249.378762,600560.592923
2022,145195.110366,595044.97341
2023,148605.011832,588987.611965
2024,151297.794167,582889.101587
2025,154374.235237,576983.194496
2026,158718.78197,572046.199738
2027,162212.347335,566761.760253
2028,165503.924144,561723.490871
2029,169042.907053,556802.868098
2030,171845.647655,551564.045955
2031,176353.936589,547555.857088
2032,180339.923757,543397.817213
2033,184923.5102,539989.859055
2034,189936.172922,536757.958094
2035,192847.676592,532339.007765
2036,197934.441625,529435.662856
2037,200886.582046,525318.336333
2038,205421.165348,522364.523218
2039,209829.057604,519415.337669
2040,215465.613971,517391.503884
