year,Base case cost,Modeled non-residential ashp
2017,48936.7726587,111742.065748
2018,54580.1321557,103955.462055
2019,62313.6247998,93987.4607097
2020,66075.8644645,88284.387025
2021,68584.0242409,83955.1126919
2022,70674.1573879,80109.4197188
2023,71928.2372762,77191.0372695
2024,73182.3171644,74309.7904507
2025,74436.3970526,71464.8089909
2026,76108.5035702,68210.6012349
2027,77571.5967732,65213.2996603
2028,78616.6633467,62694.4144829
2029,80288.7698643,59541.5499465
2030,81124.8231231,57310.1789058
2031,83005.9429555,53998.6587669
