year,annotation,consumption,consumption residential,consumption non-residential
2003,,246197.0,99658.0,146539.0
2004,,248539.0,96497.0,152042.0
2005,,255486.0,108388.0,147098.0
2006,,243816.0,100564.0,143252.0
2007,,232922.0,105866.0,127056.0
2008,,237497.0,103114.0,134383.0
2009,,235599.0,96897.0,138702.0
2010,,298569.0,107622.0,190947.0
2011,,291118.0,108757.0,182361.0
2012,,274749.0,110437.0,164312.0
2013,,246527.0,107524.0,139003.0
2014,,227056.0,96888.0,130168.0
2015,,221751.0,91146.0,130605.0
2016,start of forecast,235544.0,102285.0,133259.0
2017,,235495.0,102236.0,133259.0
2018,,235421.0,102162.0,133259.0
2019,,235293.0,102034.0,133259.0
2020,,235199.0,101940.0,133259.0
2021,,235133.0,101874.0,133259.0
2022,,235043.0,101784.0,133259.0
2023,,234956.0,101697.0,133259.0
2024,,234859.0,101600.0,133259.0
2025,,234768.0,101509.0,133259.0
2026,,234681.0,101422.0,133259.0
2027,,234604.0,101345.0,133259.0
2028,,234535.0,101276.0,133259.0
2029,,234383.0,101124.0,133259.0
2030,,234254.0,100995.0,133259.0
2031,,234139.0,100880.0,133259.0
2032,,234050.0,100792.0,133259.0
2033,,233987.0,100728.0,133259.0
2034,,233929.0,100670.0,133259.0
2035,,233864.0,100605.0,133259.0
2036,,233771.0,100512.0,133259.0
2037,,233675.0,100416.0,133259.0
2038,,233582.0,100324.0,133259.0
2039,,233507.0,100248.0,133259.0
2040,,233452.0,100193.0,133259.0
