year,Base case cost,Modeled non-residential ashp
2017,354614.294629,439700.035604
2018,395508.204027,467033.202361
2019,451548.005796,505226.420037
2020,478810.612061,522911.655556
2021,496985.682905,534148.9769
2022,512131.575275,543263.88763
2023,521219.110697,548092.189017
2024,530306.646119,552959.430027
2025,539394.181541,557864.698011
2026,551510.895437,564970.343465
2027,562113.020095,571030.633398
2028,569685.96628,574963.096954
2029,581802.680176,582175.008472
2030,587861.037124,585094.211219
2031,601492.340257,593454.501499
