year,Base case cost,Lake redfield
2021,1359624.3709,2883811.33216
2022,1405330.45246,2869815.42823
2023,1433201.38952,2845764.62105
2024,1458105.61958,2821389.41803
2025,1485138.8982,2798353.31837
2026,1519592.97154,2780221.47207
2027,1549128.48629,2759749.01616
2028,1570778.73545,2735653.93384
2029,1600988.13569,2717540.08041
2030,1618694.40965,2692851.40034
2031,1656761.55625,2680791.67272
2032,1688544.92209,2664928.51529
2033,1719230.87481,2648724.98104
2034,1754896.46538,2636535.23181
2035,1773741.76689,2615067.74327
2036,1810078.55814,2604976.20533
2037,1830337.40829,2586315.83076
2038,1870990.69112,2580196.54197
2039,1894429.01889,2564339.5064
2040,1935301.11314,2559736.88787
2041,1930210.72718,2528554.60073
2042,1925438.49034,2498301.99165
2043,1920984.40262,2468964.72769
2044,1917802.9114,2441483.25982
2045,1913030.67456,2412980.57708
2046,1909531.03421,2386306.67314
2047,1905713.24473,2359857.76697
2048,1902213.60439,2334257.42652
2049,1899350.26228,2309811.36956
2050,1895850.62193,2285234.85924
2051,1895850.62193,2264651.97844
2052,1895850.62193,2244551.50883
2053,1895850.62193,2224922.14414
2054,1895850.62193,2205752.84255
2055,1895850.62193,2187032.82148
2056,1895850.62193,2168751.55091
2057,1895850.62193,2150898.74757
2058,1895850.62193,2133464.36947
2059,1895850.62193,2116438.60947
2060,1895850.62193,2099811.89067
2061,1895850.62193,2083574.86072
2062,1895850.62193,2067718.38604
2063,1895850.62193,2052233.54752
2064,1895850.62193,2037111.63494
2065,1895850.62193,2022344.14233
2066,1895850.62193,2007922.76248
2067,1895850.62193,1993839.38399
2068,1895850.62193,1980086.08457
2069,1895850.62193,1966655.12824
2070,1895850.62193,1953538.95991
