year,Base case cost,Modeled non-residential ashp
2017,22014.1121431,95224.0912086
2018,24076.1019794,95876.3630417
2019,26901.791755,97160.7423857
2020,28352.8216398,97371.8614097
2021,29269.261567,97178.940067
2022,30032.9615064,96885.8915768
2023,30491.18147,96370.4355726
2024,30949.4014336,95875.6226905
2025,31407.6213973,95400.9691599
2026,32018.5813488,95067.7756057
2027,32553.1713063,94692.9209509
2028,33011.3912699,94275.9545666
2029,33545.9812275,93938.2095982
2030,33927.8311972,93496.5966018
2031,34538.7911487,93255.1287096
