year,Base case cost,Modeled transmission and interties
2021,108612.038606,884686.008423
2022,111811.87919,874174.656175
2023,114039.061296,863058.293436
2024,115618.400958,851903.212374
2025,117818.738764,841364.241127
2026,120319.732733,831665.773626
2027,122839.517711,821988.819506
2028,124689.089995,811970.885638
2029,127515.794806,803130.339436
2030,129453.953281,793964.174685
2031,132226.969491,785609.543747
2032,134982.089502,777490.825001
2033,137719.313312,769602.128831
2034,140438.640922,762200.330546
2035,142208.575115,753875.039774
2036,145624.06491,747312.674366
2037,147062.024591,739128.196003
2038,150467.671476,732998.442031
2039,152944.505575,726466.4197
2040,156206.982859,720644.100024
