year,Base case cost,Modeled non-residential ashp
2017,200776.089949,252973.651076
2018,218897.426381,268946.551772
2019,243814.263977,291165.661959
2020,256272.682774,301975.763246
2021,264767.059227,309165.421468
2022,270996.268626,314292.08174
2023,275526.602734,317874.675622
2024,278924.353315,320432.14238
2025,283454.687423,324041.211018
2026,288551.313295,328182.314228
2027,293081.647403,331816.631163
2028,297045.689748,334943.869449
2029,302142.31562,339121.525766
2030,304973.774437,341233.756893
2031,310636.692073,345953.637134
