year,Base case cost,Modeled solar power (pv)
2016,287878.472698,311696.636155
2017,341442.423838,363901.624461
2018,383036.278637,404347.730435
2019,449452.247795,469409.378099
2020,482289.851228,501351.038602
2021,503686.368114,521983.145196
2022,523858.092853,541496.523644
2023,542663.64479,559702.879773
2024,563443.872661,579941.681514
2025,588141.071199,604066.433001
2026,612902.112231,628268.138423
2027,632714.634428,647534.150486
2028,649397.379155,663704.269001
2029,727921.055701,741706.083156
2030,802700.426511,816017.594206
2031,874581.625913,887379.517263
2032,883402.401002,895692.841831
2033,875630.701024,887404.765273
2034,869882.32859,881172.002063
2035,880625.544845,891482.250028
