year,Base case cost,Modeled residential ashp
2017,360101.435659,634302.066785
2018,372434.73051,627510.998853
2019,429966.640078,661410.348105
2020,460975.128854,677792.671621
2021,474674.861455,679343.106532
2022,503855.367523,698381.61286
2023,536334.273192,721790.18318
2024,588839.31371,766293.286113
2025,646241.072533,814893.737901
2026,699616.084224,859597.246366
2027,736774.425283,888210.845793
2028,766754.946212,910236.559971
2029,1020247.43851,1155428.99044
2030,1263472.80748,1391404.64209
2031,1486065.75727,1605464.73063
