year,Base case cost,Modeled non-residential ashp
2017,216416.101455,283339.781113
2018,231269.396932,298434.917157
2019,252874.190353,320875.701875
2020,262326.287474,330160.244251
2021,269752.935213,337270.858625
2022,274478.983774,341474.823764
2023,278529.88254,344968.19296
2024,281230.481718,347018.26957
2025,284606.23069,349821.130889
2026,288657.129456,353376.294236
2027,292708.028223,356951.09774
2028,295408.6274,359080.700042
2029,299459.526167,362693.413683
2030,302160.125344,364860.037608
2031,306211.024111,368508.905177
