year,Base case cost,Modeled residential ashp
2017,78745.9773546,151360.694663
2018,84150.5533608,156816.950015
2019,92011.7548243,165306.644219
2020,95451.0304646,168411.481422
2021,98153.3184677,170640.30132
2022,99872.9562878,171691.866754
2023,101346.931562,172467.477638
2024,102329.581745,172665.924912
2025,103557.894474,173188.535919
2026,105031.869748,174034.759099
2027,106505.845023,174903.425124
2028,107488.495206,175192.746559
2029,103581.232649,170723.49474
2030,104515.353514,171006.591537
2031,105916.534812,171887.096737
