year,Base case cost,Modeled non-residential ashp
2017,55647.0860366,185436.863759
2018,58852.4510163,179756.991311
2019,63339.9619878,172616.921805
2020,65391.3955747,168380.473186
2021,66801.7561658,164939.437955
2022,67955.6875584,161841.273489
2023,68596.7605543,159386.024705
2024,69237.8335503,156970.682503
2025,70007.1211454,154443.798887
2026,70904.6233397,151804.460517
2027,71673.9109348,149352.800905
2028,72314.9839307,147087.948913
2029,73084.2715258,144708.028489
2030,73597.1299226,142663.747087
2031,74494.6321169,140201.729655
