year,Base case cost,Modeled transmission and interties
2021,541598.806017,2499584.4141
2022,555747.625106,2483129.52201
2023,565170.645367,2464185.21541
2024,573096.360493,2441577.81963
2025,583356.397638,2423382.60715
2026,596547.873966,2408732.00393
2027,607119.254318,2392151.53476
2028,616549.794946,2375080.21775
2029,628293.600564,2360903.24584
2030,635307.84717,2342681.1924
2031,648040.581091,2332108.11244
2032,661265.899073,2319709.4744
2033,674836.401915,2309654.72331
2034,688068.488227,2299817.06165
2035,696889.879101,2286178.888
2036,711956.183005,2279201.218
2037,719678.848213,2265514.98844
2038,734771.473402,2259572.49996
2039,745459.419447,2249786.95375
2040,760579.869995,2244834.36882
