year,Base case cost,Modeled solar power (pv)
2016,320159.228675,333172.059823
2017,381755.910282,394019.307766
2018,427537.755744,439182.639092
2019,489032.912392,499956.217454
2020,518582.541324,529027.364743
2021,539368.204905,549406.622263
2022,553456.409833,563138.313469
2023,562837.000182,572200.947943
2024,570726.346811,579789.823519
2025,580943.954043,589704.032405
2026,594080.877627,602524.788901
2027,604609.828067,612764.4969
2028,614004.000198,621885.956762
2029,625699.314488,633295.644726
2030,632683.254013,640029.409886
2031,645367.496607,652440.899421
2032,658538.261843,665335.794913
2033,672054.211941,678582.227161
2034,685231.745508,691496.457325
2035,694016.767886,700051.948994
