year,Base case cost,Modeled residential ashp
2017,1031580.86508,1956621.12771
2018,1091413.9646,1998152.84018
2019,1172478.16395,2060242.65186
2020,1200866.52604,2072076.16656
2021,1227660.04101,2083222.60728
2022,1257402.56326,2098029.82787
2023,1281631.50285,2107933.39637
2024,1293309.76768,2105700.59366
2025,1306934.40998,2105633.02507
2026,1324451.80723,2109575.76665
2027,1338076.44953,2110112.02669
2028,1349754.71436,2109087.22088
2029,1365325.73413,2112051.74466
2030,1375057.62149,2109736.89012
2031,1378998.86228,2101620.81385
