year,Base case cost,Modeled residential ashp
2017,7188760.52679,8483273.366
2018,7837676.6962,8932033.26677
2019,8716596.63803,9536664.98862
2020,9136402.89858,9815620.5416
2021,9394589.51616,9984848.81757
2022,9578762.60247,10094889.9525
2023,9655290.16424,10126938.3435
2024,9714022.16739,10141191.1758
2025,9762228.9473,10144918.7849
2026,9846533.22134,10169917.4979
2027,9920090.6255,10191582.5361
2028,9959230.21774,10186242.9575
2029,9950305.19089,10125425.5647
2030,9891425.06145,10029479.4596
2031,9911827.35767,9990576.19477
