year,annotation,line losses
2002,,0.11
2003,,0.11
2004,,0.09
2005,,0.08
2006,,0.13
2007,,
2008,,
2009,,0.1
2010,,0.09
2011,,0.1
2012,,0.03
2013,,0.05
2014,start of forecast,0.06
2015,,0.06
2016,,0.06
2017,,0.06
2018,,0.06
2019,,0.06
2020,,0.06
2021,,0.06
2022,,0.06
2023,,0.06
2024,,0.06
2025,,0.06
2026,,0.06
2027,,0.06
2028,,0.06
2029,,0.06
2030,,0.06
2031,,0.06
2032,,0.06
2033,,0.06
2034,,0.06
2035,,0.06
2036,,0.06
2037,,0.06
2038,,0.06
2039,,0.06
2040,,0.06
