year,Base case cost,Modeled non-residential ashp
2017,21483.5353848,22189.0771024
2018,28382.0700878,28980.9206269
2019,32637.5036456,33081.4798932
2020,34623.3726392,34995.0742174
2021,36041.8504917,36361.9273062
2022,37082.0675836,37364.286238
2023,37744.0239148,38002.1510127
2024,38405.9802461,38640.0157875
2025,39067.9365773,39277.8805622
2026,40013.588479,40189.1159548
2027,40770.1100004,40918.1042688
2028,41337.5011414,41464.8455043
2029,42188.5878529,42284.9573575
2030,49311.1099001,49390.2711501
2031,50404.1619276,50448.9066684
