year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation diesel [kWh/year]
2003,,47030.97,3126004.0,3126004.0
2004,,47030.97,3270290.0,3270290.0
2005,,47030.97,3243049.0,3243049.0
2006,,47030.97,3394551.0,3394551.0
2007,,47030.97,3597000.0,3597000.0
2008,,47030.97,3594000.0,3594000.0
2009,,47030.97,2984014.0,2984014.0
2010,,47030.97,3498178.0,3498178.0
2011,,47030.97,3430080.0,3430080.0
2012,,47030.97,3618260.0,3618260.0
2013,,47030.97,3807586.0,3807586.0
2014,start of forecast,47030.97,3612000.0,3612000.0
2015,,47030.97,3608000.0,3608000.0
2016,,47030.97,3604000.0,3604000.0
2017,,47030.97,3600000.0,3600000.0
2018,,47030.97,3596000.0,3596000.0
2019,,47030.97,3592000.0,3592000.0
2020,,47030.97,3589000.0,3589000.0
2021,,47030.97,3585000.0,3585000.0
2022,,47030.97,3582000.0,3582000.0
2023,,47030.97,3579000.0,3579000.0
2024,,47030.97,3575000.0,3575000.0
2025,,47030.97,3572000.0,3572000.0
2026,,47030.97,3569000.0,3569000.0
2027,,47030.97,3566000.0,3566000.0
2028,,47030.97,3562000.0,3562000.0
2029,,47030.97,3559000.0,3559000.0
2030,,47030.97,3556000.0,3556000.0
2031,,47030.97,3553000.0,3553000.0
2032,,47030.97,3550000.0,3550000.0
2033,,47030.97,3546000.0,3546000.0
2034,,47030.97,3542000.0,3542000.0
2035,,47030.97,3539000.0,3539000.0
2036,,47030.97,3535000.0,3535000.0
2037,,47030.97,3532000.0,3532000.0
2038,,47030.97,3529000.0,3529000.0
2039,,47030.97,3525000.0,3525000.0
2040,,47030.97,3522000.0,3522000.0
