year,Base case cost,Modeled residential ashp
2017,23846.0750817,216436.468274
2018,27130.2497318,205239.081521
2019,31671.0085672,191704.238999
2020,33584.664674,182473.310996
2021,35583.5996203,175301.583446
2022,37235.933519,169135.167732
2023,38621.0905974,163741.187618
2024,39928.6299572,158687.318918
2025,40648.9918379,152842.180137
2026,42305.0009092,147416.477837
2027,43780.483422,142530.199694
2028,45172.9286903,137968.831202
2029,46807.3218125,133126.120852
2030,47247.861312,128421.882992
2031,49030.3259915,123602.900128
