year,Base case cost,Modeled non-residential ashp
2017,8182.93418548,12955.9962119
2018,8927.12765422,14141.7790964
2019,9968.99851046,15881.3702318
2020,10465.1274896,16618.0100455
2021,10812.417775,17084.1420364
2022,11060.4822646,17371.2358848
2023,11258.9338563,17570.7635805
2024,11407.77255,17682.6313125
2025,11581.4176927,17844.0995358
2026,11804.6757334,18100.8628202
2027,11978.3208761,18269.6977518
2028,12127.1595698,18396.3030329
2029,12350.4176104,18663.7314303
2030,12474.4498552,18751.4134784
2031,12697.7078959,19025.5418529
