year,Base case cost,Modeled transmission and interties
2021,1041327.65497,1851993.19107
2022,1076683.39796,1883514.78928
2023,1106013.87278,1901467.49556
2024,1128615.66255,1919541.18112
2025,1154641.4178,1937985.71613
2026,1187212.2998,1967496.55064
2027,1213960.89965,1990923.82782
2028,1237981.58179,2007964.31271
2029,1268176.25451,2031721.96502
2030,1286490.55082,2042769.31377
2031,1320397.92492,2074977.9576
2032,1357160.50169,2110740.71987
2033,1395585.82203,2148667.07017
2034,1437784.13662,2187219.57808
2035,1466600.11223,2215060.8819
2036,1509205.73869,2254446.73802
2037,1537969.46048,2282627.93494
2038,1582152.08063,2328037.29088
2039,1620940.49807,2363975.49887
2040,1672007.89484,2417543.62
