year,Base case diesel consumed,Modeled solar power (pv)
2016,203253.98707,200077.099409
2017,204794.805034,201643.332475
2018,206000.662571,202874.401792
2019,206670.583425,203569.332732
2020,207340.504279,204264.063592
2021,208278.393474,205226.564313
2022,209015.306414,205987.891885
2023,209886.203524,206883.008311
2024,210690.108548,207710.938898
2025,211494.013573,208538.67728
2026,212230.926512,209299.232909
2027,213168.815708,210260.575654
2028,214240.689074,211355.71494
2029,214240.689074,211378.794733
2030,214642.641586,211803.6424
2031,215580.530782,212764.243589
2032,217188.340831,214394.583936
2033,219131.111307,216359.704468
2034,221073.881784,218324.646199
2035,223016.65226,220289.41056
