year,Base case cost,Modeled transmission and interties
2021,303818.992451,2273403.8522
2022,312401.449865,2283179.02791
2023,318409.170055,2290021.65091
2024,323558.644503,2294995.06334
2025,329566.364693,2300945.99334
2026,336432.330624,2308766.13391
2027,342440.050813,2315608.75691
2028,346731.27952,2320496.34476
2029,353597.245451,2328316.48533
2030,357888.474158,2332312.38019
2031,364754.44009,2340132.52076
2032,372478.651762,2348038.4859
2033,379344.617693,2355858.62647
2034,387068.829366,2364656.28461
2035,392218.303814,2369629.69704
2036,399942.515486,2377535.66218
2037,405091.989935,2383400.76761
2038,412816.201607,2391306.73275
2039,418823.921797,2398149.35575
2040,427406.379211,2407032.83846
