year,Base case cost,Modeled non-residential ashp
2017,421304.062015,500759.704499
2018,448137.849172,524979.707951
2019,484810.691619,558080.379335
2020,501805.423485,573419.714855
2021,513433.397919,583915.049684
2022,522377.993638,591988.384168
2023,528639.210641,597639.718307
2024,534005.968073,602483.718997
2025,540267.185076,608135.053136
2026,547422.861651,614593.720723
2027,553684.078654,620245.054862
2028,558156.376514,624281.722104
2029,565312.053089,630740.389691
2030,569784.350948,634777.056933
2031,576940.027523,641235.72452
