year,Base case cost,Modeled non-residential ashp
2017,201252.778001,259599.212998
2018,220874.726651,280127.611725
2019,246919.441819,307447.022316
2020,256000.300259,317122.73862
2021,269641.542088,331160.552357
2022,282260.95936,344091.561844
2023,293745.871695,355803.086698
2024,296565.763444,358792.937837
2025,307843.614714,370269.075061
2026,320286.790666,382967.190098
2027,324246.967012,387153.978963
2028,335493.037814,398570.009154
2029,347929.473382,411233.057242
2030,359501.06529,422974.60854
2031,364294.304828,428022.787162
