year,Base case cost,Modeled transmission and interties
2021,320601.217038,334783.901926
2022,328192.866986,340608.784569
2023,333448.624642,344589.36851
2024,336411.314699,346940.202325
2025,341649.553163,351132.217002
2026,346887.791627,355055.945165
2027,352108.510899,359009.99188
2028,354973.87211,361509.055016
2029,360755.205532,365962.096132
2030,364224.005586,368589.281533
2031,369335.716551,372639.124663
2032,375673.770969,377365.265757
2033,380721.244896,381365.705802
2034,387037.886968,386297.573542
2035,389731.949411,388661.388106
2036,396599.472749,393862.684456
2037,400605.528029,396970.421271
2038,406900.757755,401885.570815
2039,410649.864883,404752.108129
2040,417494.029298,410376.093659
