year,Base case cost,Modeled residential energy efficiency
2017,5691672.2929,5389616.26991
2018,5912247.72035,5527820.168
2019,6228989.31189,5737982.26716
2020,6347358.50588,5794387.36192
2021,6391276.42112,5793906.7899
2022,6412542.2667,5776039.92511
2023,6392467.84173,5727006.96422
2024,6362034.17101,5667947.77612
2025,6329948.88829,5607562.18941
2026,6323883.09684,5568597.10341
2027,6297480.84126,5512063.99191
2028,6269354.80777,5456568.27197
2029,6201969.76247,5359651.02915
2030,6133366.83755,5266721.33604
2031,6098228.15052,5200163.08583
2032,6070296.883,5141087.72171
2033,6077694.98283,5115152.44425
2034,6073481.36446,5077868.15388
2035,6033050.82152,5011998.35969
2036,6014995.80875,4961379.75843
