year,Base case cost,Modeled non-residential ashp
2017,286733.840722,346426.584114
2018,308252.108029,368399.068914
2019,336711.751886,397459.452038
2020,350594.504987,411635.248684
2021,360312.432157,421558.306336
2022,367253.808708,428646.204658
2023,382673.697504,444168.658695
2024,386956.725276,448539.599531
2025,391953.591011,453639.030506
2026,397664.294707,459466.951621
2027,402661.160442,464566.382596
2028,406944.188214,468937.323432
2029,412654.891911,474765.244546
2030,427710.921362,489894.534884
2031,434312.765784,496628.248901
