year,Base case cost,Modeled non-residential ashp
2017,303678.199517,374571.586101
2018,325526.389517,396413.168478
2019,355217.519517,426507.475455
2020,368662.559517,439583.846721
2021,378186.129517,448570.576247
2022,385468.859517,455230.127436
2023,383379.629102,452430.828486
2024,387229.489102,455538.123776
2025,391629.329102,459244.775079
2026,397679.109102,464705.160889
2027,402078.949102,468454.103681
2028,406478.789102,472223.451758
2029,411428.609102,476590.172865
2030,414728.489102,479244.015952
2031,420778.269102,484804.092963
