year,Base case cost,Modeled residential ashp
2017,287398.67815,309784.592715
2018,306976.557694,328087.77113
2019,334177.777389,353759.697978
2020,347227.017085,365791.296997
2021,355915.076629,373628.100022
2022,362432.156325,379383.34449
2023,367316.276021,383575.586943
2024,371111.755716,386729.69109
2025,375457.975564,390427.259388
2026,386709.401797,401003.315313
2027,391674.181645,405323.226376
2028,395519.641189,408573.217074
2029,400476.650885,412907.24185
2030,403783.560733,415659.217943
2031,409277.520124,420531.898368
