year,Base case cost,Modeled non-residential ashp
2017,4392174.27153,5335097.48399
2018,4803574.86076,5698854.00484
2019,5367346.0386,6197335.16305
2020,5656850.15695,6453311.97403
2021,5839694.86327,6614981.53885
2022,5992065.45188,6749706.1762
2023,6083487.80504,6830540.95862
2024,6174910.1582,6911375.74103
2025,6266332.51137,6992210.52344
2026,6388228.98225,7099990.23332
2027,6494888.39427,7194297.47947
2028,6586310.74744,7275132.26188
2029,6692970.15946,7369439.50803
2030,6769155.45376,7436801.82671
2031,6891051.92464,7544581.53659
