year,Base case cost,Modeled non-residential ashp
2017,194289.162952,209322.161895
2018,202598.310315,216665.406594
2019,214103.283586,226832.976177
2020,219536.187631,231634.32848
2021,223051.596131,234741.085852
2022,225927.839449,237282.978248
2023,228164.917585,239260.005667
2024,229762.83054,240672.168109
2025,231680.326085,242366.763039
2026,234236.986812,244626.222947
2027,236154.482357,246320.817877
2028,237752.395312,247732.980319
2029,239989.473448,249710.007738
2030,241587.386402,251122.17018
2031,243824.464538,253099.197599
