year,Base case cost,Modeled residential ashp
2017,739272.919383,1494444.51331
2018,792483.767769,1515620.12333
2019,870642.622964,1554636.1382
2020,905603.948744,1565428.05086
2021,922040.616011,1562539.69383
2022,940548.737188,1563800.61087
2023,952116.312924,1561113.53407
2024,968534.335149,1564423.44217
2025,972937.949249,1555019.59456
2026,989132.555279,1555781.92126
2027,1000700.13101,1553968.5097
2028,1002428.19197,1543441.64524
2029,1008576.40435,1535695.29633
2030,1009994.14702,1525255.29882
2031,1015763.0815,1517517.54822
