year,population
2003,22.0
2004,18.0
2005,17.0
2006,18.0
2007,15.0
2008,14.0
2009,14.0
2010,13.0
2011,13.0
2012,13.0
2013,13.0
2014,13.0
2015,13.0
2016,12.0
2017,12.0
2018,12.0
2019,12.0
2020,12.0
2021,11.0
2022,11.0
2023,11.0
2024,11.0
2025,10.0
2026,10.0
2027,10.0
2028,10.0
2029,9.0
2030,9.0
2031,9.0
2032,9.0
2033,8.0
2034,8.0
2035,8.0
2036,8.0
2037,7.0
2038,7.0
2039,7.0
2040,7.0
